Date,Date,ENGIE,EDF,RWE,EON,INNOGY,UNIPER,Percent_ENGIE,Percent_EDF,Percent_RWE,Percent_EON,Percent_INNOGY,Percent_UNIPER
2018-03-21,2018-03-21,13.455,11.1,20.09,9.002,38.62,23.7,1.0,1.0,1.0,1.0,1.0,1.0
2018-03-22,2018-03-22,13.485,11.34,19.715,8.802,38.71,23.94,1.0022296544035674,1.0216216216216216,0.9813339970134395,0.9777827149522327,1.0023303987571208,1.010126582278481
2018-03-23,2018-03-23,13.31,11.26,19.725,8.857999999999999,38.45,23.79,0.989223337049424,1.0144144144144145,0.9818317570930812,0.9840035547656074,0.9955981356809944,1.0037974683544304
2018-03-26,2018-03-26,13.305,11.41,19.8,8.996,38.5,24.5,0.9888517279821627,1.0279279279279279,0.9855649576903933,0.9993334814485669,0.9968928016571725,1.0337552742616034
2018-03-27,2018-03-27,13.31,11.515,19.95,8.994,38.5,24.48,0.989223337049424,1.0373873873873876,0.9930313588850174,0.9991113085980892,0.9968928016571725,1.0329113924050632
2018-03-28,2018-03-28,13.14,11.585,19.75,8.79,38.37,24.25,0.9765886287625418,1.0436936936936938,0.9830761572921852,0.9764496778493666,0.9935266701191092,1.0232067510548524
2018-03-29,2018-03-29,13.565,11.92,20.14,8.987,38.39,24.96,1.0081753994797473,1.073873873873874,1.0024888003982082,0.9983337036214174,0.9940445365095806,1.0531645569620254
2018-04-03,2018-04-03,13.515,11.65,19.85,8.959,38.34,24.54,1.004459308807135,1.0495495495495497,0.9880537580886014,0.9952232837147299,0.9927498705334026,1.0354430379746835
2018-04-04,2018-04-04,13.85,11.635,20.1,9.041,38.4,24.44,1.0293571163136381,1.0481981981981983,1.0004977600796416,1.0043323705843146,0.9943034697048162,1.0312236286919831
2018-04-05,2018-04-05,13.97,11.55,20.2,9.12,38.42,23.98,1.0382757339279078,1.0405405405405406,1.0054753608760578,1.0131081981781824,0.9948213360952876,1.0118143459915612
2018-04-06,2018-04-06,14.01,11.495,20.09,9.054,38.26,23.78,1.0412486064659978,1.0355855855855856,1.0,1.0057764941124194,0.9906784049715174,1.0033755274261604
